species_binomial,sector,evidence_status,evidence_date,evidence_source,evidence_summary,permission_implication
Cirsium chokaiense,CHO_KAI_AKITA,SUPPORTED_CURRENT,2026-09-02,https://www.rinya.maff.go.jp/tohoku/sidou/hogorin/choukai.html,Tohoku Regional Forest Office states C. chokaiense occurs in the Chokai-san protected forest spanning Akita and Yamagata,Route land/collection review through Yuri Forest Management Office for Akita-side national forest sectors
Cirsium chokaiense,CHO_KAI_YAMAGATA,SUPPORTED_CURRENT,2026-09-02,https://www.rinya.maff.go.jp/tohoku/sidou/hogorin/choukai.html,Tohoku Regional Forest Office states C. chokaiense occurs in the Chokai-san protected forest spanning Akita and Yamagata,Route land/collection review through Shonai Forest Management Office for Yamagata-side national forest sectors
Cirsium yezoalpinum,SHIRETOKO,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/content/000053309.pdf,Current Shiretoko National Park designated-plant list includes C. yezoalpinum,National-park designated-plant status means collection cannot be treated as ordinary access; confirm Natural Parks Act permission with park authority
Cirsium yezoalpinum,DAISETSU,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/content/000329290.pdf,Current Daisetsuzan National Park designated-plant list includes C. yezoalpinum,Confirm park-zone and designated-plant collection permission before freezing locality
Cirsium pectinellum,DAISETSU,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/content/000329290.pdf,Current Daisetsuzan National Park designated-plant list includes C. pectinellum,Confirm park-zone and designated-plant collection permission before freezing locality
Cirsium hachimantaiense,HACHIMANTAI,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/content/000164482.pdf,Current Towada-Hachimantai National Park designated-plant list includes C. hachimantaiense,Confirm National Parks Act collection permission and land-manager approval
Cirsium inundatum,HACHIMANTAI_REGION,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/content/000164482.pdf,Current Towada-Hachimantai National Park designated-plant list includes C. inundatum,Confirm National Parks Act collection permission and land-manager approval
Cirsium ugoense,HACHIMANTAI_REGION,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/content/000164482.pdf,Current Towada-Hachimantai National Park designated-plant list includes C. ugoense,Confirm National Parks Act collection permission and land-manager approval
Cirsium homolepis,OZE,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/park/oze/oze19_siryou.pdf,Environment Ministry Oze conservation material identifies C. homolepis as a rare wild plant in Oze and notes designated-plant collection restrictions,Confirm National Parks Act permission before locality freeze
Cirsium purpratum,FUJI_HAKONE_IZU,SUPPORTED_CURRENT,2026-09-02,https://www.env.go.jp/nature/nationalparks/list/fuji-hakone-izu/feature/,Environment Ministry Fuji-Hakone-Izu National Park page explicitly presents Fuji-azami,Use current occurrence verification plus park-zone and land-manager checks; feature page alone is not collection authorization
