slot_id,species_binomial,range_sector,current_occurrence_status,evidence_class,evidence_date_or_version,evidence_source,evidence_note,conservation_review_status,land_manager_status,collection_permission_status,tissue_permission_status,freeze_status
P1_Cirsium_apoense_A,Cirsium apoense,アポイ岳蛇紋岩地の確認済み野生集団,SUPPORTED_CURRENT,CURRENT_OFFICIAL_GEOPARK_FLORA_GUIDE,retrieved_2026-09-02,https://www.apoi-geopark.jp/apoi/dictionary/07/post.html,Official Apoi Geopark flora guide lists C. apoense on Mt Apoi; exact population still unfrozen,RESTRICTION_PRESENT,REVIEW_REQUIRED,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_apoense_B,Cirsium apoense,アポイ岳周辺の別蛇紋岩地集団。別集団不可なら空間分離個体,SUPPORTED_CURRENT,CURRENT_OFFICIAL_GEOPARK_FLORA_GUIDE,retrieved_2026-09-02,https://www.apoi-geopark.jp/apoi/dictionary/07/post.html,Range-level presence supported; independent second population still requires current verification,RESTRICTION_PRESENT,REVIEW_REQUIRED,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_yezoalpinum_A,Cirsium yezoalpinum,知床山系の確認済み野生集団,SUPPORTED_CURRENT,CURRENT_NATIONAL_PARK_DESIGNATED_PLANT_LIST,2026,https://www.env.go.jp/park/content/000127372.pdf,Current Shiretoko National Park designated-plant list includes C. yezoalpinum; exact collection locality remains unfrozen,RESTRICTION_PRESENT,REVIEW_REQUIRED,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_yezoalpinum_B,Cirsium yezoalpinum,大雪山系の確認済み野生集団,SUPPORTED_CURRENT,OFFICIAL_PARK_MANAGEMENT_SPECIES_LIST,2021,https://www.daisetsuzan.or.jp/wp-content/uploads/2021/03/14.pdf,Daisetsu management material lists C. yezoalpinum; refresh with current locality evidence before freeze,RESTRICTION_PRESENT,REVIEW_REQUIRED,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_pectinellum_A,Cirsium pectinellum,北海道内の確認済み分布セクターA,REVIEW_REQUIRED,RECENT_FIELD_OBSERVATION_NON_GOVERNMENT,2024-07-18,https://hopposansokai.web.fc2.com/kaishi/no42/42-30.pdf,2024 field meeting recorded C. pectinellum near Kashiwabara wetland; use as lead and obtain current official or direct verification,REVIEW_REQUIRED,REVIEW_REQUIRED,NOT_CHECKED,NOT_CHECKED,EVIDENCE_IN_PROGRESS
P1_Cirsium_pectinellum_B,Cirsium pectinellum,北海道内でAから最大限離れた確認済み分布セクターB,REVIEW_REQUIRED,NMNS_RANGE_BASELINE,retrieved_2026-09-02,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=24,NMNS supports broad Hokkaido distribution but does not establish a current independent second sector,REVIEW_REQUIRED,REVIEW_REQUIRED,NOT_CHECKED,NOT_CHECKED,EVIDENCE_IN_PROGRESS
P1_Cirsium_charkeviczii_A,Cirsium charkeviczii,根室半島の確認済み野生集団A,REVIEW_REQUIRED,RECENT_SCIENTIFIC_DISTRIBUTION_STUDY,2025,https://sites.google.com/view/hokkaido-botanical-society/%E5%A4%A7%E4%BC%9A,2025 Hokkaido Botanical Society presentation explicitly addresses distribution and conservation in Nemuro; exact population evidence still required,REVIEW_REQUIRED,REVIEW_REQUIRED,NOT_CHECKED,NOT_CHECKED,EVIDENCE_IN_PROGRESS
P1_Cirsium_charkeviczii_B,Cirsium charkeviczii,根室半島内の独立野生集団B。国後島は日本側採集計画には数えない,REVIEW_REQUIRED,RECENT_SCIENTIFIC_DISTRIBUTION_STUDY,2025,https://sites.google.com/view/hokkaido-botanical-society/%E5%A4%A7%E4%BC%9A,Recent distribution research supports Nemuro region but does not yet verify two independent collectable populations,REVIEW_REQUIRED,REVIEW_REQUIRED,NOT_CHECKED,NOT_CHECKED,EVIDENCE_IN_PROGRESS
P1_Cirsium_chokaiense_A,Cirsium chokaiense,鳥海山・秋田県側の確認済み野生集団,SUPPORTED_CURRENT,CURRENT_FOREST_AGENCY_PROTECTED_FOREST_PAGE,retrieved_2026-09-02,https://www.rinya.maff.go.jp/tohoku/sidou/hogorin/choukai.html,Forest Agency states C. chokaiense occurs in the Chokai protected forest; prefectural-side exact site still requires verification,RESTRICTION_PRESENT,IDENTIFIED_AT_REGIONAL_LEVEL,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_chokaiense_B,Cirsium chokaiense,鳥海山・山形県側の確認済み野生集団,SUPPORTED_CURRENT,CURRENT_FOREST_AGENCY_PROTECTED_FOREST_PAGE,retrieved_2026-09-02,https://www.rinya.maff.go.jp/tohoku/sidou/hogorin/choukai.html,Forest Agency states C. chokaiense occurs in the Chokai protected forest; prefectural-side exact site still requires verification,RESTRICTION_PRESENT,IDENTIFIED_AT_REGIONAL_LEVEL,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_hachimantaiense_A,Cirsium hachimantaiense,八幡平・岩手県側の確認済み野生集団,SUPPORTED_CURRENT,CURRENT_NATIONAL_PARK_DESIGNATED_PLANT_LIST,2026,https://www.env.go.jp/content/000164482.pdf,Current Towada-Hachimantai designated-plant list includes C. hachimantaiense; exact side/locality still requires verification,RESTRICTION_PRESENT,REVIEW_REQUIRED,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_hachimantaiense_B,Cirsium hachimantaiense,八幡平・秋田県側の確認済み野生集団,SUPPORTED_CURRENT,CURRENT_NATIONAL_PARK_DESIGNATED_PLANT_LIST,2026,https://www.env.go.jp/content/000164482.pdf,Current Towada-Hachimantai designated-plant list includes C. hachimantaiense; exact side/locality still requires verification,RESTRICTION_PRESENT,REVIEW_REQUIRED,PENDING,PENDING,EVIDENCE_IN_PROGRESS
P1_Cirsium_shimae_A,Cirsium shimae,白神山地・青森県側の確認済み野生集団,REVIEW_REQUIRED,NMNS_RANGE_BASELINE,retrieved_2026-09-02,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=89,NMNS confirms Shirakami range but a recent Aomori-side occurrence record is still required,REVIEW_REQUIRED,REVIEW_REQUIRED,NOT_CHECKED,NOT_CHECKED,EVIDENCE_IN_PROGRESS
P1_Cirsium_shimae_B,Cirsium shimae,白神山地・秋田県側の確認済み野生集団,SUPPORTED_CURRENT,DATED_FOREST_AGENCY_FIELD_OBSERVATION,2019-07-03,https://www.rinya.maff.go.jp/tohoku/syo/huzisato/sirakami/attach/pdf/kouhou_si-35.pdf,Forest Agency field newsletter documents C. shimae in Fujisato Akita; refresh exact population status before freeze,REVIEW_REQUIRED,IDENTIFIED_AT_REGIONAL_LEVEL,PENDING,PENDING,EVIDENCE_IN_PROGRESS
