gate_id,stage,question,pass_rule,fail_disposition,chapter2_effect,next_action
G01,sampling,Are both concepts represented by at least 16 admitted individuals across at least 2 authorized populations?,yes for JPN06 and JPN15,do not evaluate ancestry-matched sister contrast,no_revision,complete sampling
G02,identity,Does every admitted genotype have an immutable same-individual phenotype/voucher/tissue crosswalk?,100% admitted individuals complete,exclude incomplete individuals and reassess G01,no_revision,repair or resample
G03,cytotype,Are cytotypes measured or separately constrained sufficiently for ploidy-aware analysis?,no concept/population forced through an unsupported diploid model,restrict to within-cytotype/population ancestry,no_revision,retain Comp1061 cross-species scaffold
G04,locus_sharing,Is homologous shared-locus coverage adequate under predeclared strict-locus sensitivity?,focal placement estimable and not driven by sparse overlap,do not promote RAD cross-species topology,no_revision,report population-level result only
G05,dropout,Does restriction-site-dropout sensitivity retain the focal placement?,major placement not reversed,do not promote RAD cross-species topology,no_revision,retain Comp1061 scaffold
G06,paralog_homeolog,Do depth/allele-count/heterozygosity screens exclude a collapse-driven placement?,focal placement stable after flagged loci removed,do not promote affected topology,no_revision,rebuild strict dataset
G07,network,Does ancestry/admixture/network analysis retain a meaningful JPN06-JPN15 relationship?,sister/closest ancestry relation retained without a stronger conflicting network placement,revise historical contrast if QC gates G01-G06 pass,possible_revision,evaluate Chapter 2 placement
G08,sister_stability,Is JPN06-JPN15 retained as a stable sister relationship across admitted nuclear sensitivities?,retained across predeclared topology sensitivities,if G01-G06 pass classify sister contrast as falsified/revised,revise,update stickiness history
G09,terminal_localization,Does JPN06 stickiness remain concentrated on a terminal placement under admitted own-data histories?,terminal localization remains high and no stable alternative edge replaces it,if G01-G06 pass classify terminal concentration as revised,revise,recompute minimum histories/depth
G10,strict_locus_final,Does the strict-locus ploidy-aware final sensitivity preserve the focal inference?,no reversal of G08/G09,if reversed classify public placement as not retained,revise,freeze revised history
G11,causal_handoff,If ancestry-matched contrast survives all gates can function be tested?,G01-G10 pass with retained contrast,do not start causal neutralization as an ancestry-matched test,no_revision,open P02b within-JPN15 neutralization-vs-sham experiment
