species_binomial,japanese_names,region_bucket,nmns_taxonomic_block,same_block_moreyra_anchors,moreyra_jpns,new_tree_samples_needed,sample_A_rule,sample_B_rule
Cirsium hanamakiense,ハナマキアザミ,TOHOKU,ナンブアザミ亜節カガノアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium tamastoloniferum,ハチオウジアザミ,KANTO|KINKI,ナンブアザミ亜節カガノアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium ashinokurense,アシノクラアザミ,TOHOKU,ナンブアザミ節アシノクラアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium apoense,アポイアザミ,HOKKAIDO,ナンブアザミ節エゾノサワアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium charkeviczii,エゾマミヤアザミ,REVIEW_DISTRIBUTION,ナンブアザミ節エゾノサワアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium pectinellum,エゾノサワアザミ,HOKKAIDO,ナンブアザミ節エゾノサワアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium yezoalpinum,エゾノミヤマアザミ,HOKKAIDO,ナンブアザミ節エゾノサワアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium borealinipponense,オニアザミ,TOHOKU|CHUBU,ナンブアザミ節オニアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium chokaiense,チョウカイアザミ,TOHOKU,ナンブアザミ節オニアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium hachimantaiense,ハチマンタイアザミ,TOHOKU,ナンブアザミ節オニアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium maruyamanum,ムラクモアザミ,CHUGOKU,ナンブアザミ節オニアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium occidentalinipponense,エチゼンオニアザミ,CHUBU,ナンブアザミ節オニアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium okamotoi,ジョウシュウオニアザミ,TOHOKU|KANTO|CHUBU,ナンブアザミ節オニアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium shimae,ツガルオニアザミ,TOHOKU,ナンブアザミ節オニアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium hyugamontanum,ヘイケモリアザミ,KYUSHU,ナンブアザミ節キリシマアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium kirishimense,キリシマアザミ,KYUSHU,ナンブアザミ節キリシマアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium kujuense,クジュウアザミ,KYUSHU,ナンブアザミ節キリシマアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium tenuisquamatum,サンベサワアザミ,CHUGOKU,ナンブアザミ節キリシマアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium unzenense,ウンゼンアザミ,KYUSHU,ナンブアザミ節キリシマアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium homolepis,オゼヌマアザミ,TOHOKU|KANTO,ナンブアザミ節タチアザミ亜節,,,2,VERIFIED_WILD_POPULATION_A,SECOND_INDEPENDENT_POPULATION_IF_AVAILABLE_ELSE_SPATIALLY_SEPARATED_PLANT_SAME_POPULATION_WITH_LIMIT_FLAG
Cirsium inundatum,タチアザミ,TOHOKU|CHUBU,ナンブアザミ節タチアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium ugoense,ウゴアザミ,TOHOKU,ナンブアザミ節タチアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium babanum,ダイニチアザミ,CHUBU,ナンブアザミ節ダイニチアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
Cirsium ganjuense,ガンジュアザミ,TOHOKU,ナンブアザミ節ダキバヒメアザミ亜節リシリアザミ亜節,,,2,VERIFIED_WILD_POPULATION_IN_ONE_RANGE_SECTOR,VERIFIED_WILD_POPULATION_IN_DIFFERENT_RANGE_SECTOR_MAXIMIZE_SEPARATION
