member_id,paper_taxon_concept,core_min_primary,core_recommended_primary,population_rule,regional_design,existing_reference_class,identity_gate,acquisition_route,linked_measurements,priority_status,replacement_rule,source_basis
JPN_01,"Cirsium abukumense Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_02,"Cirsium aidzuense i",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population pending authority-backed name and occurrence review","direct_Japan_sample_or_public_locality","PAPER_STRING_TYPO_OR_TRUNCATION_CHECK","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_IDENTITY_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_03,"Cirsium alpicola Nakai",3,3,"3 independent wild individuals; cytotype recorded explicitly","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_PLOIDY_AWARE","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_04,"Cirsium amplexifolium (Nakai) Kitam.",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_05,"Cirsium aomorense Nakai",3,3,"3 independent wild individuals; cytotype recorded explicitly","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_PLOIDY_AWARE","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_06,"Cirsium dipsacolepis Matsum.",16,24,"minimum 2 populations x 8; recommended 3 populations x 8","geographically separated verified grassland populations in western Japan; historical sites are not accepted without current verification","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_TISSUE_PERMISSION_CONSERVATION_REVIEW","INVESTIGATOR_OR_CLOSE_COLLABORATOR_TARGETED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|gland_exudate_documentation|colour_photo|cytotype_status|leaf_DNA","P02_FOCAL_HIGH","NO_POST_OUTCOME_SUBSTITUTION","chapter3_sampling_priorities_v1.csv|JAPAN_RADSEQ_PHASE_A_SAMPLING_PLAN_2026-08-16.md"
JPN_07,"Cirsium domonii Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_08,"Cirsium funagataense Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_09,"Cirsium gyojanum Kitam.",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_10,"Cirsium ishidatense (Horiuchi) Kadota et Horiuchi, comb. ined.",3,3,"3 independent wild individuals; diagnostic voucher mandatory","Japan; exact population pending paper-concept and voucher confirmation","direct_Japan_sample_or_public_locality","INFORMAL_NCBI_IDENTIFIER_VOUCHER_CONFIRMATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_IDENTITY_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
