source_type,source_ref,source_path_or_title,classification,destination,status,notes
issue,EAzami#2,Field sampling paired white/coloured populations,MIGRATE_PROSPECTIVE_LEGACY,aza3#9 + M01/doctoral mainline,MIGRATED_ROUTING,Old broad sampling targets preserved as legacy; current aza3 exact hole-fill/M01 governs
issue,EAzami#3,Pigment chemistry floral RNA-seq and causal-region genotyping,MIGRATE_ACTIVE_M01_EXTENSION,aza3 M01 + aza3#11,MIGRATED_ROUTING,Mechanism chain retained; old >=3 transition completion criterion is extension not current M01 requirement
issue,EAzami#4,RAD-seq + ploidy sampling population history and reticulation,MIGRATE_PROSPECTIVE_LEGACY,aza3 RAD contract + aza3#9,MIGRATED_ROUTING,Old Tier-A panel superseded by current exact hole-fill and end-to-end RAD programme
issue,EAzami#9,Systematic evidence map Cirsium phylogeny reticulation cytogenetics,KEEP_EAZAMI_PUBLIC,EAzami,KEEP,Public literature/evidence audit remains source repository
issue,EAzami#10,Population-history evidence and demographic model design,MIXED_SPLIT,EAzami public evidence + aza3 M01/ancestry design,MIGRATED_ROUTING,Public findings stay; prospective demographic alternatives move as legacy/conditional design
issue,EAzami#18,Maximum public nuclear tree from raw reads,KEEP_EAZAMI_PUBLIC,EAzami,KEEP,Public-data reconstruction
issue,EAzami#23,Azami-EAzami trait bridge and ASR,MIXED_SPLIT,EAzami ASR + aza3 future direct validation,MIGRATED_ROUTING,Public ASR stays; direct botanical validation belongs aza3
issue,EAzami#27,Doctoral mainline with causal validation,MIGRATE_ACTIVE_EXECUTION,aza3#11,MIGRATED,EAzami public evidence remains provenance; execution successor created
issue,EAzami#154,JPN06-JPN15 stickiness same-individual RAD,MIGRATE_ACTIVE_P02,aza3#8,MIGRATED,Renumbered old EAzami P01 -> aza3 P02
pr,EAzamiPR#155,Stickiness RAD-seq falsification contract,MIGRATE_ACTIVE_P02,aza3 P02 native contract,MIGRATED,Seven source files transformed to aza3 numbering/contracts
pr,EAzamiPR#114,JPN36 phyllary-access pilot,MIGRATE_ACTIVE_CONDITIONAL,aza3#10,MIGRATED_ROUTING,P01b conditional functional follow-up; exact source assets tracked for archive
pr,EAzamiPR#111,State-aware module-function bridge,MIXED_SPLIT,EAzami evidence bridge + aza3 P01b/P02b,MIGRATED_ROUTING,Experiment logic moves; literature/history premise stays source
