sample_unit_id,lineage_or_clade,taxon_or_role,population_role,geographic_unit,primary_individuals,reserve_individuals,phenotype_photo_n,leaf_DNA_n,pigment_primary_n,rna_collect_n,rna_sequence_primary_n,evidence_levels,acquisition_route,site_lock_rule,notes
M01_BREV_OKI,"Arenicola","Cirsium brevicaule","DISCOVERY_AND_E3","Okinawa Honto",15,3,15,15,3,6,5,"E1|E2|E3","INVESTIGATOR_OR_CLOSE_COLLABORATOR","freeze current extant population and authorization before any focal result","same-individual discovery anchor; no pollinator work required"
M01_BREV_AMAMI,"Arenicola","Cirsium brevicaule","DISCOVERY_AND_E3","Amami Oshima",15,3,15,15,3,6,5,"E1|E2|E3","INVESTIGATOR_OR_CLOSE_COLLABORATOR","freeze current extant population and authorization before any focal result","deep/terminal central-Ryukyu endpoint; same developmental-stage floral sampling"
M01_BREV_AMAMI_INT,"Arenicola","Cirsium brevicaule","E3_EXPANSION","one verified intermediate Amami-group population",15,0,15,15,0,0,0,"E3","STANDARDIZED_COLLABORATOR_COLLECTION_ACCEPTABLE","population identity fixed before E2 candidate inspection","DNA/photo only unless later preregistered assay requires otherwise"
M01_BREV_AMAMI_S,"Arenicola","Cirsium brevicaule","E3_EXPANSION","one verified southern Amami-group population (Okinoerabu or Yoron class)",15,0,15,15,0,0,0,"E3","STANDARDIZED_COLLABORATOR_COLLECTION_ACCEPTABLE","choose among authorized verified candidates before E2 candidate inspection and never swap after genomic leverage is known","DNA/photo only for default E3"
M01_IRUM_MIYAKO,"Arenicola","Cirsium irumtiense","DISCOVERY_AND_E3","Miyako",15,3,15,15,3,6,5,"E1|E2|E3","INVESTIGATOR_OR_CLOSE_COLLABORATOR","freeze current extant population and authorization before any focal result","northern endpoint south of Miyako Strait; same developmental-stage floral sampling"
M01_IRUM_ISHIGAKI,"Arenicola","Cirsium irumtiense","DISCOVERY_AND_E3","Ishigaki",15,3,15,15,3,6,5,"E1|E2|E3","INVESTIGATOR_OR_CLOSE_COLLABORATOR","Ishigaki is the preregistered discovery Yaeyama population; do not switch to Iriomote after seeing outcome","chosen to reduce field burden while retaining a core Yaeyama replicate"
M01_IRUM_IRIOMOTE,"Arenicola","Cirsium irumtiense","E3_EXPANSION","Iriomote",15,0,15,15,0,0,0,"E3","STANDARDIZED_COLLABORATOR_COLLECTION_ACCEPTABLE","freeze current extant population and authorization before E3 sequencing","type-area/core population; not required for discovery RNA"
M01_IRUM_YONAGUNI,"Arenicola","Cirsium irumtiense","E3_EXPANSION","Yonaguni",15,0,15,15,0,0,0,"E3","STANDARDIZED_COLLABORATOR_COLLECTION_ACCEPTABLE","freeze current extant population and authorization before E3 sequencing","terminal/deep-divergence endpoint"
M01_OUT_NIP_MORII,"Nipponocirsium","Cirsium morii","E1_SISTER_CLADE_BRACKET","Taiwan source population with fresh flowers",3,0,3,0,3,0,0,"E1","TAIWAN_COLLABORATOR_OR_EXISTING_FRESH_MATERIAL","source population and taxon determination frozen before ancestral-state analysis","immediate sister-clade coverage; phenotype-confirmed material required"
M01_OUT_NIP_PENGII,"Nipponocirsium","Cirsium pengii","E1_SISTER_CLADE_BRACKET","Taiwan source population with fresh flowers",3,0,3,0,3,0,0,"E1","TAIWAN_COLLABORATOR_OR_EXISTING_FRESH_MATERIAL","source population and taxon determination frozen before ancestral-state analysis","immediate sister-clade coverage"
M01_OUT_NIP_TATAKAENSE,"Nipponocirsium","Cirsium tatakaense","E1_SISTER_CLADE_BRACKET","Taiwan source population with fresh flowers",3,0,3,0,3,0,0,"E1","TAIWAN_COLLABORATOR_OR_EXISTING_FRESH_MATERIAL","source population and taxon determination frozen before ancestral-state analysis","immediate sister-clade coverage"
