anchor_id,template_role,taxon_concept,stage_requirement,physical_material_status,physical_sample_id,material_type,physical_holder_or_source,candidate_acquisition_route,identity_voucher_status,cytotype_or_genome_status,tissue_use_authorization_status,dna_extraction_status,dna_concentration_ng_ul,dna_total_ng,dna_purity_status,dna_integrity_status,stage_a_eligible,stage_b_eligible,primary_blocker,source_basis
RAD_A01,TEMPLATE_1,JPN_03 Cirsium alpicola,STAGE_A_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"distributed collaborator collection or documented assay-only material after exact identity and cytotype review",PENDING_LINKED_VOUCHER,KNOWN_HIGH_PLOIDY_ROLE_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A01,TEMPLATE_2,JPN_03 Cirsium alpicola,STAGE_B_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"independent individual via same qualified route; not an aliquot of TEMPLATE_1",PENDING_LINKED_VOUCHER,KNOWN_HIGH_PLOIDY_ROLE_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A02,TEMPLATE_1,JPN_05 Cirsium aomorense,STAGE_A_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"distributed collaborator collection or documented assay-only material after exact identity and cytotype review",PENDING_LINKED_VOUCHER,KNOWN_DIPLOID_ROLE_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A02,TEMPLATE_2,JPN_05 Cirsium aomorense,STAGE_B_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"independent individual via same qualified route; not an aliquot of TEMPLATE_1",PENDING_LINKED_VOUCHER,KNOWN_DIPLOID_ROLE_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A03,TEMPLATE_1,JPN_06 Cirsium dipsacolepis,STAGE_A_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"investigator or close collaborator from a currently verified western-Japan population under conservation/tissue permission review",PENDING_LINKED_VOUCHER,DIPLOID_FOCAL_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A03,TEMPLATE_2,JPN_06 Cirsium dipsacolepis,STAGE_B_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"independent individual from the same or another preregistered qualified population; never a technical duplicate of TEMPLATE_1",PENDING_LINKED_VOUCHER,DIPLOID_FOCAL_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A04,TEMPLATE_1,JPN_15 Cirsium lineare,STAGE_A_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"investigator or close collaborator from a currently verified western Honshu/Shikoku/Kyushu population under conservation/tissue permission review",PENDING_LINKED_VOUCHER,CYTOTYPE_MUST_BE_RECORDED_BEFORE_USE,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A04,TEMPLATE_2,JPN_15 Cirsium lineare,STAGE_B_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"independent individual from the same or another preregistered qualified population; never a technical duplicate of TEMPLATE_1",PENDING_LINKED_VOUCHER,CYTOTYPE_MUST_BE_RECORDED_BEFORE_USE,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A05,TEMPLATE_1,JPN_35 Cirsium nipponicum,STAGE_A_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"new wild-Japan material preferred; existing cultivated/public sequence references do not count as physical pilot DNA",PENDING_LINKED_VOUCHER,KNOWN_TETRAPLOID_ROLE_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
RAD_A05,TEMPLATE_2,JPN_35 Cirsium nipponicum,STAGE_B_REQUIRED,UNKNOWN_NOT_VERIFIED,,UNKNOWN,UNKNOWN,"second independent wild-Japan individual via the same qualified route",PENDING_LINKED_VOUCHER,KNOWN_TETRAPLOID_ROLE_REQUIRES_SAMPLE_LEVEL_CONFIRMATION,PENDING,NOT_EXTRACTED_OR_NOT_VERIFIED,,,,NOT_MEASURED,false,false,PHYSICAL_SAMPLE_NOT_CONFIRMED,"chapter3_radseq_pilot_anchor_ledger_v1.csv|chapter3_core_operational_sample_ledger_v1.csv"
