priority,taxon,region_or_stratum,nmns_orientation,current_nuclear_status,primary_reason,backbone_target_capture_minimum,population_RADseq_role,cytotype_priority,collection_note
P0,Cirsium boreale,Hokkaido_core,downward_or_nodding,not_in_Moreyra38,"fill dominant Hokkaido downward lineage; test whether northern diversity remains inside main Japanese radiation",2_individuals_from_2_localities,none_initially,high,"wild voucher-linked material; avoid substituting C. kamtschaticum because NMNS treats boreale separately"
P0,Cirsium albrechtii,Hokkaido_Pacific,upward_or_erect,not_in_Moreyra38,"northern upward contrast from a different NMNS subsection; key orientation-state control",2_individuals_from_2_localities,optional_if_within_taxon_structure_is_high,high,"wild voucher-linked material"
P0,Cirsium grayanum,South_Hokkaido_Aomori,upward_or_erect,not_in_Moreyra38,"northern upward lineage in Mineazami subsection; paired geography with C. alpicola",2_individuals_from_Hokkaido_and_Aomori,optional,high,"record ploidy; NMNS reports 2n=102"
P0,Cirsium yezoalpinum,Daisetsu_Shiretoko_alpine,downward_or_nodding,not_in_Moreyra38,"independent northern alpine downward lineage; useful against climate-only explanation",2_individuals_one_Daisetsu_one_Shiretoko,optional,high,"NMNS reports diploid 2n=34; same localities may contain C. kamtschaticum"
P0,Cirsium umezawanum,Rishiri_island,upward_or_erect,not_in_Moreyra38,"island/northern upward lineage and explicit hybrid-contact system with C. kamtschaticum",2_backbone_individuals_plus_contact_zone_material,high_priority_contact_zone_if_feasible,high,"sample parental-looking plants plus putative hybrids only with separate IDs; do not collapse hybrid individuals into species tip"
P0,Cirsium kenji-horieanum,Central_Hokkaido_ultramafic,downward_or_nodding,not_in_Moreyra38,"ultramafic local endemic; tests repeated downward state within Hokkaido diversification",2_individuals_from_2_verified_localities,none_initially,high,"provisional/new-name status requires exact voucher and current taxonomic verification before species-level promotion"
P0,Cirsium teshioense,North_Hokkaido_ultramafic,downward_or_nodding,not_in_Moreyra38,"northern ultramafic lineage; tests geography/substrate-associated radiation",2_individuals_from_2_verified_localities,none_initially,high,"provisional/new-name status requires exact voucher and current taxonomic verification"
P0,Cirsium austrohidakaense,Hidaka_Yubari_foothills,downward_or_nodding,not_in_Moreyra38,"Hidaka foothill lineage complements alpine C. kamtschaticum and tests elevational parallelism",2_individuals_from_2_verified_localities,optional,high,"provisional/new-name status; prioritize herbarium/permit-safe material if populations are sensitive"
P0,Cirsium iito-kojianum,East_Hokkaido_coast,downward_or_nodding,not_in_Moreyra38,"eastern coastal Hokkaido gap; historically confused with C. kamtschaticum",2_individuals_from_2_verified_localities,optional,high,"exact identity important because NMNS notes former misidentification as C. kamtschaticum"
P0,Cirsium chikabumiense,Central_Hokkaido_serpentine_local,downward_or_nodding,not_in_Moreyra38,"extreme local endemic in same broad northern region; tests whether local radiation is nested within main origin",2_to_3_individuals_or_herbarium_DNA,none_initially,high,"conservation-sensitive; do not prioritize destructive collection over herbarium/low-input DNA"
P0,Cirsium lineare,Western_Japan_secondary_history_anchor,upward_or_erect,Moreyra_direct_Japan_plus_independent_transcriptome_support,"independently replicate strongest non-main-radiation lineage and anchor minimum two-history model",2_target_capture_representatives_from_planned_population_panel,yes_2x8_already_planned,high,"use wild Japanese populations; keep Taiwan/mainland evidence as external geographic anchors"
P0,Cirsium dipsacolepis,Western_Japan_secondary_arrival_candidate,upward_or_erect,Moreyra_direct_Japan_only_high_dimensional_group,"independent biological replication of weakest link in current three-history model",2_target_capture_representatives_from_2_populations,yes_2x8_already_planned,high,"highest-value origin replicate after public tree"
P0,Cirsium yuki-uenoanum,Japan_identity_repair,unknown,Moreyra_paper_member_with_Ukraine_BioSample_conflict,"clean Japanese wild sample required before using this taxon in all-Japan origin count",2_clean_wild_Japan_individuals,none_initially,high,"exact voucher/locality/taxon determination mandatory"
P0,Cirsium effusum,Japan_identity_repair,unknown,Moreyra_cultivated_name_conflict,"repair cultivated/name-conflicted Japanese concept before counting lineage placement",2_clean_wild_Japan_individuals,none_initially,high,"exact authority-backed determination required"
P1,Cirsium hachijoense,Izu_islands,apparent_downward_but_self_weight_not_true_nodding,not_in_Moreyra38,"unique island lineage and crucial orientation coding control because NMNS distinguishes self-weight droop from true nodding",2_individuals_from_2_islands_if_possible,optional_if_island_structure_is_targeted,high,"record actual angle/branch architecture; do not code as true nodding automatically"
P1,Cirsium boninense,Ogasawara_islands,orientation_source_conflict_do_not_force,not_in_Moreyra38_no_reusable_Comp1061_tip,"island-origin test plus fixed-white macroevolution tip",2_mandatory_3_ideal,none_initially,high,"same samples may satisfy fixed-white A1 if >=123/153 clean frozen loci and voucher-linked white phenotype"
P1,Cirsium yakushimense,Yakushima_alpine,upward_or_erect,not_in_Moreyra38,"southern isolated alpine island lineage; tests whether main radiation spans geographic/ecological extreme",2_individuals,optional,high,"voucher-linked orientation and elevation"
P1,Cirsium spinosum,South_Kyushu_Tanegashima_Yakushima_Kikai_coast,source_conflict_do_not_force,not_in_Moreyra38,"southern coastal/island lineage and defence/spine extreme",2_individuals_from_2_regions,optional,high,"NMNS catchphrase and narrative orientation are inconsistent; phenotype exact sampled heads"
P1,Cirsium inundatum,North_Honshu_JapanSea_wetland,upward_or_erect,not_in_Moreyra38,"north-Honshu upward wetland lineage; balances many northern downward taxa",2_individuals_from_2_regions,optional,high,"NMNS reports 6x; flow cytometry essential"
