priority,system,taxon,region,population_class,target_n_individuals,primary_question,radseq_role,molecular_followup,decision_rule
A1,Taiwan Sinocirsium,Cirsium japonicum var. takaoense,Taiwan,white populations,20-30,"What allele/haplotype distinguishes white from coloured within one lineage?",population_association_and_structure,"anthocyanin chemistry + floral RNA-seq","Retain as top mechanistic system if colour state clusters by genotype or a narrow genomic region"
A1,Taiwan Sinocirsium,Cirsium japonicum var. takaoense,Taiwan,bluish-purple populations,20-30,"Paired comparison to white takaoense",population_association_and_structure,"anthocyanin chemistry + floral RNA-seq","Sample same geographic scale as white morphs"
A1,Taiwan Sinocirsium,Cirsium japonicum var. albescens,Taiwan Hengchun,fixed-white populations,15-20,"Does fixed white share the same causal haplotype/mechanism as white takaoense?",population_comparative,"anthocyanin chemistry + floral RNA-seq","Escalate to resequencing if white haplotype is shared or introgressed"
A1,Japan transregional polymorphism,Cirsium pendulum,Japan,white populations,20-30,"Natural within-species white morph; is colour loss genetically discrete and repeated?",population_association_and_structure,"anthocyanin chemistry + floral RNA-seq","Highest Japan priority if stable white populations can be relocated"
A1,Japan transregional polymorphism,Cirsium pendulum,Japan,purple populations near white sites,20-30,"Matched coloured control",population_association_and_structure,"anthocyanin chemistry + floral RNA-seq","Prefer sympatric/parapatric controls"
A2,East Asia bridge,Cirsium pendulum,China,representative coloured populations,5-10 per locality,"Is Japanese white nested within a broader transregional coloured background?",phylogeographic_bridge,"candidate-gene genotyping initially","Add dense China sampling only if structure affects transition direction"
A1,Japan-China polymorphism,Cirsium sieboldii,Japan,white and coloured populations,15-20 per colour,"Independent within-species white evolution and geographic structure",population_association_and_structure,"anthocyanin chemistry + floral RNA-seq","Promote above C. pendulum if white populations are more abundant/reproducible"
A2,Japan-China bridge,Cirsium sieboldii,China Zhejiang,representative populations,5-10 per locality,"Place Chinese populations relative to Japanese white/coloured morphs",phylogeographic_bridge,"candidate-gene genotyping initially","Needed before interpreting a Japan-only white origin"
B1,Coloured bridge control,Cirsium yezoense,Japan + Zhejiang China,representative populations,5-10 per locality,"Control for transregional structure in a coloured lineage",phylogeographic_bridge,"none initially","Escalate only if sister relationship makes it transition-informative"
A1,Ryukyu Arenicola,Cirsium brevicaule,Central Ryukyu,4-6 populations,15-20 per population,"Was white fixed once; what is population structure and gene flow?",population_structure_and_introgression,"anthocyanin chemistry + floral RNA-seq","Do not use RAD merely to reconfirm species placement"
A1,Ryukyu Arenicola,Cirsium irumtiense,Southern Ryukyu,4-6 populations,15-20 per population,"Does coloured ancestry reflect retention, regain, or introgression?",population_structure_and_introgression,"anthocyanin chemistry + floral RNA-seq","Use with brevicaule for demographic/gene-flow models"
A1,Taiwan Nipponocirsium,Cirsium kawakamii,Taiwan,2-4 populations,15-20 per population,"Independent white-flower mechanism in a polyploid lineage",polyploid_population_genomics,"anthocyanin chemistry + floral RNA-seq","Require ploidy-aware SNP/homeolog workflow"
A1,Taiwan Nipponocirsium,Cirsium tatakaense,Taiwan,2-4 populations,15-20 per population,"Closest coloured context to C. kawakamii",polyploid_population_genomics,"anthocyanin chemistry + floral RNA-seq","Matched ploidy makes this the preferred coloured comparator"
A2,Taiwan Nipponocirsium,Cirsium pengii,Taiwan,2-3 populations,10-15 per population,"Basal coloured context for ancestral-state direction",diploid_anchor_for_polyploid_clade,"none initially","Use primarily to orient the kawakamii transition"
B2,Chinese backbone gaps,Cirsium shansiense,China,1-2 populations,3-5 per population,"Fill nuclear East Asian backbone only if absent from Moreyra/other target-capture datasets",species_placement,"none initially","Drop from RAD panel if modern nuclear placement is recovered"
B2,Chinese backbone gaps,Cirsium leducii,China,1-2 populations,3-5 per population,"Fill nuclear East Asian backbone only if absent from modern nuclear datasets",species_placement,"none initially","Drop if existing nuclear coverage is verified"
