rank,priority_class,system,taxon_or_target,region,target_sampling,primary_decision,proxy_eig_score,status
1,A1,Taiwan Sinocirsium,Cirsium japonicum var. takaoense,Taiwan,"white 20-30 + bluish-purple 20-30 across >=2 populations if possible","distinguish within-lineage loss/regain/standing variation and identify colour-associated region",15.5,top_priority
2,A1,Japan polymorphism,Cirsium pendulum,Japan,"white 20-30 + nearby purple 20-30","independent within-species white-loss mechanism and population history",14.25,top_priority
3,A1,Japan polymorphism,Cirsium sieboldii,Japan,"white 15-20 + purple 15-20; prioritize reproducible white populations","independent within-species replicate and mechanism",14.25,top_priority
4,A2,East Asia bridge,Cirsium pendulum,China/NE Asia,"5-10 per representative coloured locality","test whether Japanese white is nested within transregional coloured ancestry",12.375,bridge_priority
5,A2,East Asia bridge,Cirsium sieboldii,China Zhejiang,"5-10 per verified locality","test whether geographic population history changes inferred Japan white origin",12.375,bridge_priority
6,A1,Taiwan Nipponocirsium,Cirsium kawakamii + Cirsium tatakaense,Taiwan,"2-4 populations each; 15-20 per population if feasible","replicated molecular mechanism and introgression in matched polyploid comparison",9.0,mechanism_replicate
7,A1,Ryukyu Arenicola,Cirsium brevicaule + Cirsium irumtiense,Ryukyu,"4-6 populations per taxon; 15-20 per population","test gene flow, colour-associated haplotypes and whether brevicaule white mechanism matches independent white lineages",8.625,population_mechanism_priority
8,A2,Taiwan Nipponocirsium,Cirsium pengii,Taiwan,"2-3 populations; 10-15 per population or lower if species-level anchor is enough","basal coloured anchor and population-history sensitivity",5.375,anchor_only
9,B2,China backbone,Cirsium shansiense,China,"recover modern nuclear placement first; if absent 1-2 populations x 3-5","generic nuclear backbone completion",4.875,defer_unless_gap_confirmed
10,B2,China backbone,Cirsium leducii,China,"recover modern nuclear placement first; if absent 1-2 populations x 3-5","generic nuclear backbone completion",4.875,defer_unless_gap_confirmed
